count_point_id,year,region_id,region_name,region_ons_code,local_authority_id,local_authority_name,local_authority_code,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,direction_of_travel,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,LGVs,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs,all_motor_vehicles
51,2000,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,C,105,87,837,25,451,30,0,0,0,0,0,30,1430
51,2001,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,C,93,83,857,27,451,28,0,0,0,0,0,28,1446
51,2002,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,C,99,102,893,28,467,28,0,0,0,0,0,28,1518
51,2003,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,C,83,131,926,29,509,27,0,0,0,0,0,27,1622
51,2004,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Counted,Manual count,N,103,19,208,20,128,37,6,0,1,0,0,44,419
51,2004,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Counted,Manual count,S,93,18,268,15,168,40,0,0,0,0,0,40,509
51,2005,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,N,108,18,205,17,140,40,6,0,1,0,0,47,427
51,2005,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,S,97,17,265,13,183,43,0,0,0,0,0,43,521
51,2006,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,N,103,19,207,17,148,40,6,0,1,0,0,47,438
51,2006,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,S,93,18,268,13,194,43,0,0,0,0,0,43,536
51,2007,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,N,105,19,202,17,156,41,6,0,1,0,0,48,442
51,2007,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,S,94,18,260,13,204,44,0,0,0,0,0,44,539
51,2008,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,N,105,19,198,18,163,40,7,0,1,0,0,48,446
51,2008,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,S,94,18,256,13,213,43,0,0,0,0,0,43,543
51,2009,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,N,120,20,199,19,176,40,8,0,1,0,0,49,463
51,2009,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,S,108,19,258,14,230,43,0,0,0,0,0,43,564
51,2010,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,N,123,18,192,22,181,41,8,0,1,0,0,50,463
51,2010,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,S,111,17,248,16,236,44,0,0,0,0,0,44,561
51,2011,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,N,108,18,191,22,190,41,9,0,1,0,0,51,472
51,2011,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,S,97,17,246,16,248,44,0,0,0,0,0,44,571
51,2012,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Counted,Manual count,N,151,49,297,11,169,23,0,0,0,0,0,23,549
51,2012,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Counted,Manual count,S,137,40,228,12,135,16,0,0,0,0,0,16,431
51,2013,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,E,149,51,298,13,182,22,0,0,0,0,0,22,565
51,2013,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,W,136,42,229,14,144,16,0,0,0,0,0,16,444
51,2014,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,E,119,56,302,13,198,23,0,0,0,0,0,23,590
51,2014,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,W,108,46,231,14,157,16,0,0,0,0,0,16,464
51,2015,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,E,119,54,306,13,210,23,0,0,0,0,0,23,607
51,2015,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,W,108,44,235,14,167,17,0,0,0,0,0,17,477
51,2016,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,E,118,54,310,13,227,24,0,0,0,0,0,24,628
51,2016,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,W,107,44,238,14,180,17,0,0,0,0,0,17,494
51,2017,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,E,118,52,310,13,240,25,0,0,0,0,0,25,640
51,2017,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.91502292,-6.317072964,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,W,108,43,238,14,191,18,0,0,0,0,0,18,503
51,2018,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.915021,-6.3170727,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,E,116,51,308,12,251,26,0,0,0,0,0,26,648
51,2018,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.915021,-6.3170727,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,W,105,42,237,13,200,18,0,0,0,0,0,18,510
51,2019,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.915021,-6.3170727,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,E,140,55,309,12,250,25,0,0,0,0,0,25,652
51,2019,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90200,10585,49.915021,-6.3170727,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,W,127,45,237,13,199,18,0,0,0,0,0,18,512
51,2020,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90173,10641,49.915021,-6.3170727,0.3,0.19,Counted,Manual count,E,67,10,261,0,147,11,0,0,0,0,0,11,428
51,2020,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90173,10641,49.915021,-6.3170727,0.3,0.19,Counted,Manual count,W,57,6,206,0,107,9,0,0,0,0,0,9,328
51,2021,1,South West,E12000009,1,Isles of Scilly,E06000053,A3111,PA,Major,"Pierhead, Hugh Town",A3112,90173,10641,49.915021,-6.3170727,0.3,0.19,Estimated,Estimated using previous year's AADF on this link,E,50,10,286,0,168,12,0,0,0,0,0,12,476
